game_date,player_name,goal_no,pl_surname,pl_forename,goal_min,added_time,is_own_goal,is_penalty
2023-09-09,J. Taylor,1,Taylor,J.,11,,0,0
2023-09-09,B. Ihionvien,1,Ihionvien,B.,87,,0,0
2023-09-16,R. Darcy,1,Darcy,R.,61,,0,0
2023-09-16,N. Tsaroulla,1,Tsaroulla,N.,68,,0,0
2023-09-16,K. Lolos,1,Lolos,K.,90,6.0,0,0
2023-09-30,A. Little,1,Little,A.,21,,0,0
2023-09-30,Ali Al-Hamadi,1,Al-Hamadi,Ali,32,,0,0
2023-09-30,Ali Al-Hamadi,2,Al-Hamadi,Ali,62,,0,0
2023-09-30,Ali Al-Hamadi,3,Al-Hamadi,Ali,88,,0,0
2023-10-03,A. Cook,1,Cook,A.,55,,0,0
2023-10-07,D. Rose,1,Rose,D.,27,,0,0
2023-10-07,R. Pyke,1,Pyke,R.,44,,0,0
2023-10-10,S. Thomas,1,Thomas,S.,9,,0,0
2023-10-14,M. Demetriou,1,Demetriou,M.,11,,0,0
2023-10-14,C. Long,1,Long,C.,52,,0,0
2023-10-20,H. Biggins,1,Biggins,H.,27,,0,0
2023-10-20,M. Faal,1,Faal,M.,57,,0,0
2023-10-24,J. Turnbull,1,Turnbull,J.,72,,0,0
2023-10-28,I. Olaofe,1,Olaofe,I.,5,,0,0
2023-10-28,A. Sarcevic,1,Sarcevic,A.,54,,0,0
2023-11-04,J. Roberts,1,Roberts,J.,3,,0,0
2023-11-04,J. Reid,1,Reid,J.,58,,0,1
2023-11-04,K. Hemmings,1,Hemmings,K.,81,,0,0
2023-11-04,J. Reid,2,Reid,J.,90,10.0,0,0
2023-11-18,L. John,1,John,L.,88,,0,0
2023-11-25,C. Mahoney,1,Mahoney,C.,90,1.0,0,0
2023-11-28,R. Oates,1,Oates,R.,37,,0,0
2023-11-28,W. Swan,1,Swan,W.,79,,0,0
2023-12-09,W. Evans,1,Evans,W.,22,,0,0
2023-12-16,J. Matt,1,Matt,J.,64,,0,0
2023-12-23,D. Kemp,1,Kemp,D.,22,,0,0
2023-12-26,M. Lund,1,Lund,M.,55,,0,0
2024-01-01,A. Nemane,1,Nemane,A.,24,,0,0
2024-01-01,M. Langstaff,1,Langstaff,M.,29,,0,0
2024-01-06,D. Campbell,1,Campbell,D.,80,,0,0
2024-01-13,A. Gilbey,1,Gilbey,A.,9,,0,0
2024-01-13,E. Harrison,1,Harrison,E.,90,6.0,0,0
2024-01-20,S. McGurk,1,McGurk,S.,23,,0,0
2024-01-20,R. Hepburn-Murphy,1,Hepburn-Murphy,R.,35,,0,0
2024-01-20,R. Hepburn-Murphy,2,Hepburn-Murphy,R.,64,,0,0
2024-01-27,D. Tharme,1,Tharme,D.,39,,0,0
2024-02-10,J. Ironside,1,Ironside,J.,15,,0,0
2024-02-10,H. Adelakun,1,Adelakun,H.,64,,0,0
2024-02-13,C. Brown,1,Brown,C.,14,,0,0
2024-02-13,J. Slew,1,Slew,J.,82,,0,0
2024-02-13,J. Davenport,1,Davenport,J.,90,5.0,0,0
2024-02-24,C. McCann,1,McCann,C.,45,1.0,0,0
2024-03-09,C. Masterson,1,Masterson,C.,84,,0,0
2024-03-12,W. Swan,1,Swan,W.,39,,0,0
2024-03-23,J. Kelly,1,Kelly,J.,2,,0,0
2024-03-23,J. Williams,1,Williams,J.,10,,0,0
2024-03-23,D. Orsi,1,Orsi,D.,79,,0,0
2024-03-29,C. Kavanagh,1,Kavanagh,C.,64,,0,0
2024-03-29,B. Pointon,1,Pointon,B.,69,,0,0
2024-04-01,A. Smith,1,Smith,A.,8,,0,0
2024-04-06,J. Matt,1,Matt,J.,45,2.0,0,0
2024-04-06,T. Allen,1,Allen,T.,57,,0,0
2024-04-06,B. Comley,1,Comley,B.,68,,0,0
2024-04-13,W. Evans,1,Evans,W.,20,,0,0
2024-04-20,J. Kelly,1,Kelly,J.,56,,0,0
2024-04-20,J. Kelly,2,Kelly,J.,90,5.0,0,0
2024-04-27,L. Shipley,1,Shipley,L.,4,,0,0
2024-04-27,J. Nolan,1,Nolan,J.,51,,0,1
2024-04-27,A. Henderson,1,Henderson,A.,53,,0,0
2024-04-27,J. Nolan,2,Nolan,J.,82,,0,1
2024-08-20,Beto,1,Beto,,86,,0,0
2024-08-20,Beto,2,Beto,,90,2.0,0,0
2024-08-20,M. Sherif,1,Sherif,M.,90,5.0,0,0
2024-08-27,J. Ayew,1,Ayew,J.,38,,0,0
2024-08-27,S. Mavididi,1,Mavididi,S.,51,,0,1
2024-08-27,W. Ndidi,1,Ndidi,W.,71,,0,0
2024-08-27,H. Winks,1,Winks,H.,90,,0,0
2024-08-31,A. Davies,1,Davies,A.,7,,0,0
2024-09-14,A. Little,1,Little,A.,48,,0,0
2024-09-14,J. Clarke,1,Clarke,J.,82,,0,0
2024-09-14,J. Clarke,2,Clarke,J.,89,,0,0
2024-09-21,L. Taylor,1,Taylor,L.,7,,0,0
2024-09-21,L. Taylor,2,Taylor,L.,38,,0,0
2024-09-21,S. Tovide,1,Tovide,S.,78,,0,0
2024-10-01,C. Merrie,1,Merrie,C.,54,,0,0
2024-10-05,J. White,1,White,J.,23,,0,0
2024-10-08,A. Popoola,1,Popoola,A.,90,,0,0
2024-10-12,A. Cook,1,Cook,A.,23,,0,0
2024-10-12,A. Cook,2,Cook,A.,72,,0,0
2024-10-19,L. Dennis,1,Dennis,L.,90,6.0,0,0
2024-10-22,J. Obikwu,1,Obikwu,J.,59,,0,0
2024-10-26,S. Tracey,1,Tracey,S.,39,,0,0
2024-10-26,S. Tracey,2,Tracey,S.,54,,0,0
2024-10-26,J. Tabiner,1,Tabiner,J.,84,,0,0
2024-11-02,J. Norwood,1,Norwood,J.,39,,0,0
2024-11-02,J. Uchegbulam,1,Uchegbulam,J.,61,,0,0
2024-11-09,K. Hudlin,1,Hudlin,K.,84,,0,0
2024-11-22,J. Colwill,1,Colwill,J.,89,,0,0
2024-11-26,M. Stevens,1,Stevens,M.,37,,0,0
2024-11-26,Omar Bugiel,1,Bugiel,Omar,53,,0,0
2024-12-03,B. Tollitt,1,Tollitt,B.,12,,0,0
2024-12-03,A. Lewis,1,Lewis,A.,50,,0,0
2024-12-07,R. Colclough,1,Colclough,R.,29,,0,0
2024-12-07,A. Dobra,1,Dobra,A.,44,,0,0
2024-12-07,K. Drummond,1,Drummond,K.,86,,0,0
2024-12-10,J. Clarke-Harris,1,Clarke-Harris,J.,24,,0,1
2024-12-10,Z. Jules,1,Jules,Z.,48,,0,0
2024-12-10,H. Odoffin,1,Odoffin,H.,90,,0,0
2024-12-14,J. Daly,1,Daly,J.,14,,0,0
2024-12-21,J. Olowu,1,Olowu,J.,38,,0,0
2024-12-21,P. Kelly,1,Kelly,P.,66,,0,0
2024-12-21,K. Hurst,1,Hurst,K.,77,,0,0
2024-12-29,J. Turnbull,1,Turnbull,J.,11,,0,0
2025-01-01,Y. Songo'o,1,Songo'o,Y.,72,,0,0
2025-01-01,J. Stott,1,Stott,J.,84,,0,0
2025-01-11,J. Matt,1,Matt,J.,15,,0,0
2025-01-11,R. Stirk,1,Stirk,R.,22,,0,0
2025-01-11,J. Matt,2,Matt,J.,49,,0,0
2025-01-11,J. Jellis,1,Jellis,J.,72,,0,0
2025-01-11,N. Lowe,1,Lowe,N.,80,,0,0
2025-01-18,J. Neufville,1,Neufville,J.,48,,0,0
2025-01-18,M. Stevens,1,Stevens,M.,81,,0,1
2025-01-25,J. Turnbull,1,Turnbull,J.,44,,0,0
2025-01-28,P. Glatzel,1,Glatzel,P.,87,,0,0
2025-01-28,K. Tshimanga,1,Tshimanga,K.,90,5.0,0,1
2025-01-28,H. Smith,1,Smith,H.,90,,0,0
2025-02-01,L. Taylor,1,Taylor,L.,9,,0,1
2025-02-01,L. Taylor,2,Taylor,L.,33,,0,0
2025-02-01,O. Edwards,1,Edwards,O.,63,,0,0
2025-02-08,H. Adelakun,1,Adelakun,H.,51,,0,0
2025-02-08,H. Adelakun,2,Adelakun,H.,61,,0,0
2025-02-15,D. Orsi,1,Orsi,D.,32,,0,0
2025-02-22,C. Whitaker,1,Whitaker,C.,80,,0,0
2025-02-22,A. Jatta,1,Jatta,A.,83,,0,0
2025-02-25,S. Whalley,1,Whalley,S.,49,,0,0
2025-03-01,R. Curtis,1,Curtis,R.,29,,0,0
2025-03-04,D. Rose,1,Rose,D.,68,,0,1
2025-03-08,M. Cheek,1,Cheek,M.,27,,0,0
2025-04-01,E. Taylor,1,Taylor,E.,33,,0,0
2025-04-01,T. Cursons,1,Cursons,T.,58,,0,0
2025-04-01,B. Fox,1,Fox,B.,75,,0,0
2025-04-12,B. Woods,1,Woods,B.,1,,0,0
2025-04-12,T. Walton,1,Walton,T.,24,,0,0
2025-04-12,J. Woods,1,Woods,J.,42,,0,0
2025-04-18,L. Molyneux,1,Molyneux,L.,23,,0,0
2025-04-18,L. Molyneux,2,Molyneux,L.,51,,0,1
2025-04-18,L. Molyneux,3,Molyneux,L.,77,,0,0
2025-05-03,S. McLoughlin,1,McLoughlin,S.,23,,0,0
2025-08-02,K. Lisbie,1,Lisbie,K.,87,,0,0
2025-08-16,J. Gbode,1,Gbode,J.,90,2.0,0,0
2025-08-19,B. Whitfield,1,Whitfield,B.,10,,0,0
