game_date,bbc_id,manager_name
2020-01-01,cjvjlzuwjsp1t9f2c1kpt77x1,Mark Robins
2020-01-04,5rnibm58n3dbos9rsz1lahbyt,Nigel Pearson
2020-01-07,2az1hqn1ylzk3zshjerwjtuxh,Steve Beaglehole
2020-01-11,bw62bse00i2uhalntu7t1dp05,Sol Campbell
2020-01-18,ziigr8o4c81c0bbjxugpozx1,Paul Lambert
2020-01-23,5rnibm58n3dbos9rsz1lahbyt,Nigel Pearson
2020-01-26,1jt6jnwdiaicjbff0phe6w2xh,Ole Gunnar Solskjær
2020-01-29,1q7vpureb5sarl7lz06jshw45,Phil Parkinson
2020-02-01,f1q9ez4eg94jjmf4oa593wwr9,Keith Hill
2020-02-04,b9qrqr4ln7wuv3bocjj1lxv4l,Darren Moore
2020-02-08,4f5lcn3eh5ivk2xufai8hycid,Kenny Jackett
2020-02-11,7so2lplzodfi7sqa6bturcdii,Ben Garner
2020-02-22,eqe1utlqdmhanoy54rqihpp79,Gareth Ainsworth
2020-02-25,7ptdepdxx0q7qfrxf1mpuk7h1,Sam Ricketts
2020-03-07,dyxp862fxqepjr08soddtkdzp,John Coleman
2020-03-10,cjuex63ledzjmfghm7aqnlmmt,Neil Critchley
2020-09-05,ajkp07130bvzqtstin35yk6ol,Simon Weaver
2020-09-08,bdz09r0nv15tbez6h6ibvyqc5,John Askey
2020-09-12,d4cfhqq4rh8ew7zb7x5mo079x,Graham Coughlan
2020-09-19,9h2upwxy5da3j9miepbbkmxud,Michael Duff
2020-09-26,2u3sbqzseoo9k4tb32jt0iove,Mark Bonner
2020-09-29,cmp89blcg0hmu87mqy9uv5bvu,Barry Lewtas
2020-10-03,4m5agk4z54yrs6cilhidngavo,Neil Cox
2020-10-10,6u3oaivbof6jr6vjepir28dlh,Graham Alexander
2020-10-17,4bl8bysh9k3utjawrwsaiu311,Michael Flynn
2020-10-20,17wylqjdb8s4j4ud8p3gmmjje,Ross Embleton
2020-10-24,ckh2xh6drrgfau0axu8qx93v9,Mark Molesley
2020-10-27,d242int3lyaitaxzg8pa45qp6,John Yems
2020-10-31,bwfi0iiuf87wn1heysqh4duqd,Derek Adams
2020-11-03,ajkp07130bvzqtstin35yk6ol,Simon Weaver
2020-11-07,dyxp862fxqepjr08soddtkdzp,John Coleman
2020-11-11,ef3eet46v8cbsu9od4jwq40d1,John Sheridan
2020-11-14,bdz09r0nv15tbez6h6ibvyqc5,John Askey
2020-11-21,8m04jk7svxsjhv6wfrxm5f8b9,Ian Holloway
2020-11-24,9l8mtfnym4u595zda9ypcdzh1,Chris Beech
2020-11-27,akk8unkp4gna4zufbsns47105,Kevin Wilkin
2020-12-01,ea526alc508mvl9o7d5cl0m39,Harry Kewell
2020-12-05,byecwafkm2jd4c4nzi4n4kx5h,Darrell Clarke
2020-12-08,4zgia9osqxtlscs1fnjm1zg0l,Enzo Maresca
2020-12-12,58lrels2eh6nbzfbkjjmujnpx,Matt Taylor
2020-12-19,ox5wwerj0g7fopuff4quacph,Ian Evatt
2020-12-26,ari3tjs9mcxur2gmkanujn4oa,Mark Trueman
2020-12-29,enz1ro3sbjbutb85n7u8f4rca,Michael Jolley
2021-01-10,pdqzvu9weoldjb3viunqwwyd,Valérien Ismaël
2021-01-13,2az1hqn1ylzk3zshjerwjtuxh,Steve Beaglehole
2021-01-16,7vh38zjrpcibitssdn60ghuj9,Alex Revell
2021-01-19,5md0s1ek1q0a4fv2naixoqqj9,Mark Cooper
2021-01-23,ox5wwerj0g7fopuff4quacph,Ian Evatt
2021-01-26,ajkp07130bvzqtstin35yk6ol,Simon Weaver
2021-01-30,bwfi0iiuf87wn1heysqh4duqd,Derek Adams
2021-02-02,8v7bfizmot8iqadg68duyrd1x,Darren Ferguson
2021-02-06,3smaqtxpki7reqvedkhlsvzdh,Danny Pugh
2021-02-09,7vh38zjrpcibitssdn60ghuj9,Alex Revell
2021-02-16,4eet2ynqvfgmlxl6onkianzdh,Karl Robinson
2021-02-20,ea526alc508mvl9o7d5cl0m39,Harry Kewell
2021-02-23,9l8mtfnym4u595zda9ypcdzh1,Chris Beech
2021-02-27,17wylqjdb8s4j4ud8p3gmmjje,Ross Embleton
2021-03-02,4bl8bysh9k3utjawrwsaiu311,Michael Flynn
2021-03-06,d242int3lyaitaxzg8pa45qp6,John Yems
2021-03-09,ckh2xh6drrgfau0axu8qx93v9,Mark Molesley
2021-03-14,dmod2hltxwhlmuto4hex4wgr9,Lee Johnson
2021-03-17,8owy03phftbt9nq5t2vt5113p,Paul Hurst
2021-03-20,58lrels2eh6nbzfbkjjmujnpx,Matt Taylor
2021-03-23,9tnytcyngg6k9afbdd9kjmx91,Wayne Brown
2021-03-27,25lkvwfttz8lfox4qw1z4dwb9,Nigel Clough
2021-04-02,9h2upwxy5da3j9miepbbkmxud,Michael Duff
2021-04-05,2u3sbqzseoo9k4tb32jt0iove,Mark Bonner
2021-04-10,4m5agk4z54yrs6cilhidngavo,Neil Cox
2021-04-13,58zro11wyprsoimgtxrn1j3dh,Brian Dutton
2021-04-17,5pxjl6c1qqycl3meiatmajxzp,Gary Bowyer
2021-04-20,ari3tjs9mcxur2gmkanujn4oa,Mark Trueman
2021-04-24,8u80nh159qlgref4eo7vleb55,Rob Kelly
2021-05-01,9m752cywugelss05qo47li0wk,Jimmy Ball
2021-05-08,ddhvxhl7nt9nh6tjetsmeb8b9,Hayden Mullins
2021-05-20,bwfi0iiuf87wn1heysqh4duqd,Derek Adams
2021-05-23,bwfi0iiuf87wn1heysqh4duqd,Derek Adams
2021-08-07,dpl9ouuuvmql7s7qh61pinvf9,Matty Taylor
2021-08-10,8kkftt1su2v3whsvngdyvq8t0,Colin West
2021-08-14,byecwafkm2jd4c4nzi4n4kx5h,Darrell Clarke
2021-08-17,7so2lplzodfi7sqa6bturcdii,Ben Garner
2021-08-21,at5ou2gknn9j9et3uto7qmwnp,Wayne Hatswell
2021-08-28,4m5agk4z54yrs6cilhidngavo,Neil Cox
2021-09-04,ah0xwg8sib6994y6wxvm1nutx,Dave Challinor
2021-09-11,6rrgl3dkrju656kf77hrq7mqd,Robbie Stockdale
2021-09-14,akyhtrf66wtopnn9dt0l76q51,Mark Jackson
2021-09-18,5pxjl6c1qqycl3meiatmajxzp,Gary Bowyer
2021-09-25,2cbzd3idpr1f63ijvaywz9hp1,Rob Edwards
2021-10-02,d242int3lyaitaxzg8pa45qp6,John Yems
2021-10-05,5pxjl6c1qqycl3meiatmajxzp,Gary Bowyer
2021-10-08,ddhvxhl7nt9nh6tjetsmeb8b9,Hayden Mullins
2021-10-16,47tqw7jgmht1u485xsg6srb2t,Gavin Skelton
2021-10-19,ajkp07130bvzqtstin35yk6ol,Simon Weaver
2021-10-23,cgw3exnpfje717jp2rzuqvg0l,Jon Brady
2021-10-30,25lkvwfttz8lfox4qw1z4dwb9,Nigel Clough
2021-11-06,d242int3lyaitaxzg8pa45qp6,John Yems
2021-11-09,9kfsfqsojhigpd7ttnkawodzp,Keith Curle
2021-11-13,1kknu609kx4b7qi1wlm6ydnje,Matt Gray
2021-11-20,aldiiqcj51rsy3d4zdxxoprrp,Joey Barton
2021-11-23,bwfi0iiuf87wn1heysqh4duqd,Derek Adams
2021-12-04,4f5lcn3eh5ivk2xufai8hycid,Kenny Jackett
2021-12-07,bz3w2451yxluci80wyqacglhx,Selim Benachour
2021-12-11,58lrels2eh6nbzfbkjjmujnpx,Matt Taylor
2021-12-18,4f5lcn3eh5ivk2xufai8hycid,Kenny Jackett
2021-12-21,ajkp07130bvzqtstin35yk6ol,Simon Weaver
2021-12-26,5md0s1ek1q0a4fv2naixoqqj9,Mark Cooper
2022-01-08,f1q9ez4eg94jjmf4oa593wwr9,Keith Hill
2022-01-11,5pxjl6c1qqycl3meiatmajxzp,Gary Bowyer
2022-01-15,6rrgl3dkrju656kf77hrq7mqd,Robbie Stockdale
2022-01-22,d242int3lyaitaxzg8pa45qp6,John Yems
2022-01-29,2cbzd3idpr1f63ijvaywz9hp1,Rob Edwards
2022-02-01,f0saxvtshovxu1uxpxtgwlplh,Paul Tisdale
2022-02-05,5md0s1ek1q0a4fv2naixoqqj9,Mark Cooper
2022-02-08,7so2lplzodfi7sqa6bturcdii,Ben Garner
2022-02-12,6ymks9im6858zm0vphra1rzdh,Neil McDonald
2022-02-15,1u7rystjw2q4thwkq1fkz89g5,Graeme Lee
2022-02-19,74wb6gx0ixwpcwz4mjp3m0zkk,Andy Crosby
2022-02-26,bt1etxq046xafitpibwzfbh1w,James Rowberry
2022-03-05,cgw3exnpfje717jp2rzuqvg0l,Jon Brady
2022-03-11,25lkvwfttz8lfox4qw1z4dwb9,Nigel Clough
2022-03-15,ajkp07130bvzqtstin35yk6ol,Simon Weaver
2022-03-19,1kknu609kx4b7qi1wlm6ydnje,Matt Gray
2022-03-26,9tnytcyngg6k9afbdd9kjmx91,Wayne Brown
2022-04-02,6ngx9j0rse9q7rxmbsb78vvf9,Paul Simpson
2022-04-09,aldiiqcj51rsy3d4zdxxoprrp,Joey Barton
2022-04-15,b6n86o71vokfvswlt11sew2xh,Mark Hughes
2022-04-18,58lrels2eh6nbzfbkjjmujnpx,Matt Taylor
2022-04-23,7ngvv2q9v3wzd3d1n5e95noid,Steve Evans
2022-04-30,ef3eet46v8cbsu9od4jwq40d1,John Sheridan
2022-05-07,57vthy2ilm93bfsc5br2tnsgl,Richie Wellens
2022-07-30,7ngvv2q9v3wzd3d1n5e95noid,Steve Evans
2022-08-06,25lkvwfttz8lfox4qw1z4dwb9,Nigel Clough
2022-08-09,dyxp862fxqepjr08soddtkdzp,John Coleman
2022-08-13,5nothldfgw0mawu70c5sy36c5,Neil Harris
2022-08-16,dnw0ugg4858t4ocvymozedkut,Paul Hartley
2022-08-20,bt1etxq046xafitpibwzfbh1w,James Rowberry
2022-08-24,ezlkz2b39qic4wu066cgl1o0l,Eddie Howe
