game_date,comm_min,comm_min_inj,comm_text,headline
2023-08-05,1,,"Offside, Barrow. Dean Campbell tries a through ball, but Emile Acquah is caught offside.",
2023-08-05,1,,Foul by Brad Walker (Tranmere Rovers).,
2023-08-05,1,,Emile Acquah (Barrow) wins a free kick in the defensive half.,
2023-08-05,1,,First Half begins.,Kick Off
2023-08-05,1,,Lineups are announced and players are warming up.,
2023-08-05,10,,Foul by Emile Acquah (Barrow).,
2023-08-05,10,,Lee O'Connor (Tranmere Rovers) wins a free kick in the defensive half.,
2023-08-05,13,,Foul by Paul Lewis (Tranmere Rovers).,
2023-08-05,13,,Elliot Newby (Barrow) wins a free kick in the defensive half.,
2023-08-05,14,,Regan Hendry (Tranmere Rovers) wins a free kick in the defensive half.,
2023-08-05,14,,Foul by Kian Spence (Barrow).,
2023-08-05,15,,Attempt blocked. Brad Walker (Tranmere Rovers) right footed shot from outside the box is blocked. Assisted by Josh Hawkes.,
2023-08-05,18,,"Corner,  Barrow. Conceded by Luke McGee.",
2023-08-05,18,,"Corner,  Barrow. Conceded by Tom Davies.",
2023-08-05,19,,"Goal!  Tranmere Rovers 0, Barrow 1. Niall Canavan (Barrow) right footed shot from the left side of the six yard box to the bottom left corner. Assisted by Kian Spence   following a corner.",Goal!
2023-08-05,19,,Attempt missed. Kian Spence (Barrow) right footed shot from the centre of the box misses to the left following a corner.,
2023-08-05,24,,Attempt saved. Josh Hawkes (Tranmere Rovers) right footed shot from the left side of the box is saved in the centre of the goal.,
2023-08-05,26,,Lee O'Connor (Tranmere Rovers) wins a free kick in the defensive half.,
2023-08-05,26,,Foul by George Ray (Barrow).,
2023-08-05,26,,Attempt blocked. Niall Canavan (Barrow) header from the centre of the box is blocked. Assisted by Rory Feely.,
2023-08-05,28,,"Corner,  Barrow. Conceded by Jordan Turnbull.",
2023-08-05,30,,Paul Lewis (Tranmere Rovers) wins a free kick on the right wing.,
2023-08-05,30,,Foul by Tom White (Barrow).,
2023-08-05,31,,Attempt missed. Connor Jennings (Tranmere Rovers) right footed shot from the centre of the box misses to the left following a set piece situation.,
2023-08-05,34,,Foul by Lee O'Connor (Tranmere Rovers).,
2023-08-05,34,,Elliot Newby (Barrow) wins a free kick on the left wing.,
2023-08-05,35,,"Offside, Barrow. Rory Feely tries a through ball, but George Ray is caught offside.",
2023-08-05,35,,Lee O'Connor (Tranmere Rovers) is shown the yellow card for a bad foul.,Booking
2023-08-05,36,,Josh Hawkes (Tranmere Rovers) wins a free kick on the left wing.,
2023-08-05,36,,Foul by David Worrall (Barrow).,
2023-08-05,37,,Dean Campbell (Barrow) is shown the yellow card.,Booking
2023-08-05,39,,Attempt missed. Connor Jennings (Tranmere Rovers) right footed shot from outside the box is too high.,
2023-08-05,41,,Attempt blocked. David Worrall (Barrow) right footed shot from the right side of the box is blocked. Assisted by Tom White.,
2023-08-05,42,,Attempt blocked. David Worrall (Barrow) left footed shot from outside the box is blocked.,
2023-08-05,45,6,"First Half ends, Tranmere Rovers 0, Barrow 1.",Half Time
2023-08-05,45,5,"Corner,  Tranmere Rovers. Conceded by Rory Feely.",
2023-08-05,45,1,Foul by Connor Jennings (Tranmere Rovers).,
2023-08-05,45,1,Tom White (Barrow) wins a free kick in the attacking half.,
2023-08-05,45,,Attempt missed. George Ray (Barrow) right footed shot from more than 35 yards misses to the left. Assisted by Kian Spence.,
2023-08-05,46,,"Substitution, Tranmere Rovers. Kieron Morris replaces Brad Walker.",Substitution
2023-08-05,46,,"Second Half begins Tranmere Rovers 0, Barrow 1.",Second Half
2023-08-05,5,,Attempt saved. George Ray (Barrow) header from the centre of the box is saved in the bottom right corner. Assisted by Rory Feely with a cross.,
2023-08-05,51,,George Ray (Barrow) is shown the yellow card for hand ball.,Booking
2023-08-05,51,,Hand ball by George Ray (Barrow).,
2023-08-05,53,,Regan Hendry (Tranmere Rovers) wins a free kick on the right wing.,
2023-08-05,53,,Foul by Dean Campbell (Barrow).,
2023-08-05,54,,Attempt blocked. Josh Hawkes (Tranmere Rovers) right footed shot from outside the box is blocked.,
2023-08-05,55,,Foul by Josh Hawkes (Tranmere Rovers).,
2023-08-05,55,,Rory Feely (Barrow) wins a free kick in the defensive half.,
2023-08-05,60,,"Corner,  Tranmere Rovers. Conceded by Gerard Garner.",
2023-08-05,60,,"Corner,  Tranmere Rovers. Conceded by Elliot Newby.",
2023-08-05,61,,Attempt missed. Kieron Morris (Tranmere Rovers) left footed shot from outside the box is high and wide to the left following a corner.,
2023-08-05,62,,Penalty Tranmere Rovers. Harvey Saunders draws a foul in the penalty area.,
2023-08-05,62,,Penalty conceded by Rory Feely (Barrow) after a foul in the penalty area.,
2023-08-05,63,,"Goal!  Tranmere Rovers 1, Barrow 1. Josh Hawkes (Tranmere Rovers) converts the penalty with a right footed shot to the bottom left corner.",
2023-08-05,66,,"Substitution, Barrow. Courtney Duffus replaces Emile Acquah.",Substitution
2023-08-05,67,,Attempt blocked. Kieron Morris (Tranmere Rovers) left footed shot from outside the box is blocked.,
2023-08-05,67,,"Corner,  Tranmere Rovers. Conceded by George Ray.",
2023-08-05,68,,Attempt missed. Paul Lewis (Tranmere Rovers) right footed shot from outside the box is too high.,
2023-08-05,69,,Attempt missed. Josh Hawkes (Tranmere Rovers) header from the left side of the six yard box is just a bit too high. Assisted by Kieron Morris with a cross.,
2023-08-05,7,,Attempt blocked. Paul Lewis (Tranmere Rovers) left footed shot from the right side of the box is blocked.,
2023-08-05,70,,"Goal!  Tranmere Rovers 1, Barrow 2. Kian Spence (Barrow) right footed shot from the centre of the box to the high centre of the goal.",Goal!
2023-08-05,71,,"Substitution, Tranmere Rovers. Luke Norris replaces Connor Jennings.",Substitution
2023-08-05,76,,Delay in match  because of an injury Regan Hendry (Tranmere Rovers).,
2023-08-05,77,,"Substitution, Barrow. Tyrell Warren replaces Gerard Garner.",Substitution
2023-08-05,77,,"Substitution, Barrow. Junior Tiensia replaces Kian Spence.",Substitution
