player_id,bbc_urn
ApterRob20030423,urn:bbc:sportsdata:football:player:s-8wnfkmvldy46l2i068v20onpw
BanksOllie19920921,urn:bbc:sportsdata:football:player:s-3so13462zxbn4hmdyant8tzh1
BarrettJack20020604,urn:bbc:sportsdata:football:player:s-pfu0j7xf48iklqfyr3fmh4dm
BelehouanJean20000901,urn:bbc:sportsdata:football:player:s-4p6z2g4vsi99jizgb4rf0ofl5
BlackerBilly20060525,urn:bbc:sportsdata:football:player:s-14sq9h8jlgoymbi6x6rv387bo
BlackettTaylorCorey19970923,urn:bbc:sportsdata:football:player:s-4qrvri86m93wpyugq0zq4aaqx
BlackhamJoe20010910,urn:bbc:sportsdata:football:player:s-a59v9iar9pcshorgxncad946i
BradshawZak20030922,urn:bbc:sportsdata:football:player:s-6djkebstplayojjus0q6c3vh0
BristowEthan20011127,urn:bbc:sportsdata:football:player:s-41effdztsrt4lvypjgmeg8nsa
BroughPatrick19960220,urn:bbc:sportsdata:football:player:s-wd3u2p0i94dx7v3ndihxxj9x
BurtonJake20011115,urn:bbc:sportsdata:football:player:s-62k13a48ssvmr2afo6q0gn0iy
ByrneNeill19930202,urn:bbc:sportsdata:football:player:s-alef44d3hn73817zau3b2kxjp
CapriceJake19921111,urn:bbc:sportsdata:football:player:s-7qnu4sb2a2vj7nw8gkvv1pxw5
ChalmersLogan20000324,urn:bbc:sportsdata:football:player:s-66idxwhe01tb5c38fiy1lh0q
ChapmanAaron19900529,urn:bbc:sportsdata:football:player:s-c9vek5ubpbqw9kw418jetbxsl
ClarkePeter19820103,urn:bbc:sportsdata:football:player:s-7us8ifm1s3m8bq5b3ejsjmx91
CookAndy19901018,urn:bbc:sportsdata:football:player:s-dz0c4z5rx225rb828ceeygdzp
CrawfordAli19910730,urn:bbc:sportsdata:football:player:s-c4g43ghalkakgcgv1jzaum11x
DacresCogleyJosh19960312,urn:bbc:sportsdata:football:player:s-4wtqhzocmqa7yb206nr9f9wq1
DannsNeil19821123,urn:bbc:sportsdata:football:player:s-dcu4iqh297bm2ovuzdrv1ahn9
DaviesMikey20040923,urn:bbc:sportsdata:football:player:s-6xeg7z5iw05vptw75eocquj2s
DaviesScott19870223,urn:bbc:sportsdata:football:player:s-a94l8b9zd2qrqrwtjix7vy7dh
DaviesTom19920418,urn:bbc:sportsdata:football:player:s-9e5mebs52jf2y9omsjewv1sd1
DavisonJosh19990916,urn:bbc:sportsdata:football:player:s-84qumtphadlmwu0bikkii936y
DennisKristian19900312,urn:bbc:sportsdata:football:player:s-9cxi2qzpa1d00mep1n2b0uv2t
DickovMax20020427,urn:bbc:sportsdata:football:player:s-bwzdtjy3fmtv42d91vnnof84
DieseruvweEmmanuel19950220,urn:bbc:sportsdata:football:player:s-5gcmw0c2mok84fgh83m793oph
DoohanRoss19980329,urn:bbc:sportsdata:football:player:s-dgcocw72ey734nwc3omi02sid
DrysdaleDeclan19991114,urn:bbc:sportsdata:football:player:s-8ccc4dmvpm3llpl0d9k3kng15
DuffyMark19851007,urn:bbc:sportsdata:football:player:s-5onse6m48al57ot639hvgvtud
EllisMark19880930,urn:bbc:sportsdata:football:player:s-10dspr6idhprvdaj6mwull0wl
FeeneyLiam19870121,urn:bbc:sportsdata:football:player:s-9tluf9krdxo4fqw4jd940ak7p
FeeneyMorgan19990208,urn:bbc:sportsdata:football:player:s-8ayt3qq83okjt181mqtahh90p
FerrierMorgan19941115,urn:bbc:sportsdata:football:player:s-1uer7zbsjiqa7blhlqnksr5k9
FinleySam19920804,urn:bbc:sportsdata:football:player:s-6q5iqhaxdzqhj3jt0eptjvbv9
FoleySam19861017,urn:bbc:sportsdata:football:player:s-6d3roy345r3srxogozeclk6vp
GarrettJake20030310,urn:bbc:sportsdata:football:player:s-7hhg47hss3k3k1axi8g3s72wa
GilmourHarvey19981215,urn:bbc:sportsdata:football:player:s-5nykz7o6gopmokht1eluvcve1
GlatzelPaul20010220,urn:bbc:sportsdata:football:player:s-51kp3nx6n17h701nrqxgylrl5
HarrisTaylan20051030,urn:bbc:sportsdata:football:player:s-5jox12fpl2p436utg6vkzlses
HawkesJosh19990128,urn:bbc:sportsdata:football:player:s-dfm4vwns596gts9uebkw3eh2h
HaydeKyle20010925,urn:bbc:sportsdata:football:player:s-bpqzpnqve5n8mo49fzh3dyn3e
HemmingsKane19910408,urn:bbc:sportsdata:football:player:s-34nk6hwcm5rck1ml4vak2u4lx
HendryRegan19980121,urn:bbc:sportsdata:football:player:s-693vankfkq50hufuwcz7hu8r9
