game_date,team_name,player_name,bbc_player_id,goal_min,goal_min_inj,goal_type
2023-09-09,Colchester United,J. Taylor,s-ap6krbqlids3m29zd4j8ick16,11,,Goal
2023-09-09,Colchester United,B. Ihionvien,s-z34u0r64q9t64z0cwwr2zf9w,87,,Goal
2023-09-16,Crawley Town,R. Darcy,s-1m7f1gj7uz92b6nvwmg795ilm,61,,Goal
2023-09-16,Crawley Town,N. Tsaroulla,s-8dee5fk86zmtn6y54pe8vi6ll,68,,Goal
2023-09-16,Crawley Town,K. Lolos,s-6719e8qeu0xpu4ac9f67ph7u,90,6,Goal
2023-09-16,Tranmere Rovers,C. Jolley,s-jb2xbmpxxp22jukttbvgxb3e,21,,Goal
2023-09-16,Tranmere Rovers,S. Taylor,s-42rr7g3qbbn9dyvkxiyvbhdlg,66,,Goal
2023-09-23,Tranmere Rovers,J. Hawkes,s-dfm4vwns596gts9uebkw3eh2h,14,,Penalty
2023-09-23,Tranmere Rovers,J. Hawkes,s-dfm4vwns596gts9uebkw3eh2h,49,,Goal
2023-09-30,AFC Wimbledon,A. Little,s-ekcfj2t6pzdz36uzpw9q6c7vt,21,,Goal
2023-09-30,AFC Wimbledon,Ali Al-Hamadi,s-3a96rdsu1qqtsmiaae10vbyi2,32,,Goal
2023-09-30,AFC Wimbledon,Ali Al-Hamadi,s-3a96rdsu1qqtsmiaae10vbyi2,62,,Goal
2023-09-30,AFC Wimbledon,Ali Al-Hamadi,s-3a96rdsu1qqtsmiaae10vbyi2,88,,Goal
2023-09-30,Tranmere Rovers,C. Jennings,s-7xr6yeu0yevkshdqj9acwmrit,4,,Goal
2023-10-03,Tranmere Rovers,R. Hendry,s-693vankfkq50hufuwcz7hu8r9,24,,Goal
2023-10-03,Tranmere Rovers,K. Morris,s-3gffyf2cg2ur4q1oobe8yoy51,83,,Goal
2023-10-03,Bradford City,A. Cook,s-dz0c4z5rx225rb828ceeygdzp,55,,Goal
2023-10-07,Tranmere Rovers,K. Morris,s-3gffyf2cg2ur4q1oobe8yoy51,16,,Goal
2023-10-07,Tranmere Rovers,C. Jennings,s-7xr6yeu0yevkshdqj9acwmrit,61,,Goal
2023-10-07,Grimsby Town,D. Rose,s-6rzo9g92tym87cby8b65rubit,27,,Goal
2023-10-07,Grimsby Town,R. Pyke,s-dovxfzsqb5e7by2q6kq0j2z1l,44,,Goal
2023-10-10,Leicester City U21,S. Thomas,s-6g9t61pg506gftqcj8oj8upuy,9,,Goal
2023-10-14,Crewe Alexandra,M. Demetriou,s-cssg8mnrbntyfxrirze1pp5g5,11,,Goal
2023-10-14,Crewe Alexandra,C. Long,s-3v8h77978yr2kbznuyl5xbetx,52,,Goal
2023-10-20,Tranmere Rovers,C. Jennings,s-7xr6yeu0yevkshdqj9acwmrit,70,,Goal
2023-10-20,Doncaster Rovers,H. Biggins,s-4ltpx62a5n6r3v48gcax3wmh,27,,Goal
2023-10-20,Doncaster Rovers,M. Faal,s-b6n4iy2sxm1rej4gnq0pseoa2,57,,Goal
2023-10-24,Morecambe,J. Turnbull,s-4bvc6p797egcje5vf8qbdl4ut,72,,Own Goal
2023-10-28,Stockport County,I. Olaofe,s-91c7qtq8hd9wff51qipg8ikx6,5,,Goal
2023-10-28,Stockport County,A. Sarcevic,s-14l28rqahhxk5u043wqh0k72t,54,,Goal
2023-11-04,Stevenage,J. Roberts,s-86j2bax6hoyr6drplss8p3845,3,,Goal
2023-11-04,Stevenage,J. Reid,s-yqdecjw3dq8zplqqc9d59mtx,58,,Penalty
2023-11-04,Stevenage,J. Reid,s-yqdecjw3dq8zplqqc9d59mtx,90,10,Goal
2023-11-04,Stevenage,K. Hemmings,s-34nk6hwcm5rck1ml4vak2u4lx,81,,Goal
2023-11-04,Tranmere Rovers,L. Norris,s-6jp4b6snq2bwki0oxkafbxck5,28,,Penalty
2023-11-04,Tranmere Rovers,R. Apter,s-8wnfkmvldy46l2i068v20onpw,55,,Goal
2023-11-04,Tranmere Rovers,K. Morris,s-3gffyf2cg2ur4q1oobe8yoy51,90,1,Goal
2023-11-11,Tranmere Rovers,T. Omotoye,s-1oxfxpbvol3526lbe42wxxze2,8,,Own Goal
2023-11-11,Tranmere Rovers,K. Dennis,s-9cxi2qzpa1d00mep1n2b0uv2t,47,,Goal
2023-11-11,Tranmere Rovers,R. Apter,s-8wnfkmvldy46l2i068v20onpw,71,,Goal
2023-11-18,Sutton United,L. John,s-2zolpj7ce5ws5i88k909ssgyd,88,,Goal
2023-11-18,Tranmere Rovers,B. Goodliffe,s-bpbau8sh21r3h2amcpwhnl6uh,17,,Own Goal
2023-11-25,Tranmere Rovers,R. Apter,s-8wnfkmvldy46l2i068v20onpw,43,,Goal
2023-11-25,Tranmere Rovers,R. Apter,s-8wnfkmvldy46l2i068v20onpw,60,,Goal
2023-11-25,Tranmere Rovers,C. Jennings,s-7xr6yeu0yevkshdqj9acwmrit,53,,Goal
2023-11-25,Gillingham,C. Mahoney,s-byo7nlw3mxwlj9h6pjtf6b5xx,90,1,Goal
2023-11-28,Mansfield Town,R. Oates,s-8jv3x3ka1cysltqmw9zm064lx,37,,Goal
2023-11-28,Mansfield Town,W. Swan,s-d4t4cmj2j1jvr89yp68x80k8a,79,,Goal
2023-11-28,Tranmere Rovers,C. Jolley,s-jb2xbmpxxp22jukttbvgxb3e,13,,Goal
2023-11-28,Tranmere Rovers,R. Apter,s-8wnfkmvldy46l2i068v20onpw,62,,Goal
2023-12-09,Tranmere Rovers,K. Morris,s-3gffyf2cg2ur4q1oobe8yoy51,57,,Goal
2023-12-09,Tranmere Rovers,C. Jennings,s-7xr6yeu0yevkshdqj9acwmrit,88,,Goal
2023-12-09,Newport County,W. Evans,s-67560ygttzudacg4u534d24mh,22,,Goal
2023-12-16,Walsall,J. Matt,s-8rjkn8s6e4s60167zdyukj9w5,64,,Goal
