league_name,cup_div,rank,team_name,p,w,d,l,gf,ga,gd,points,game_date
League Two,,1,Leyton Orient,34,21,8,5,45,21,24,71,2023-02-25
League Two,,2,Carlisle United,33,16,10,7,54,34,20,58,2023-02-25
League Two,,3,Stevenage,31,16,9,6,43,26,17,57,2023-02-25
League Two,,4,Northampton Town,32,15,10,7,45,31,14,55,2023-02-25
League Two,,5,Stockport County,33,16,6,11,48,31,17,54,2023-02-25
League Two,,6,Salford City,33,15,7,11,47,35,12,52,2023-02-25
League Two,,7,Mansfield Town,32,15,7,10,51,42,9,52,2023-02-25
League Two,,8,Bradford City,31,14,9,8,38,29,9,51,2023-02-25
League Two,,9,Sutton United,33,14,8,11,36,38,-2,50,2023-02-25
League Two,,10,Swindon Town,32,13,9,10,43,35,8,48,2023-02-25
League Two,,11,Barrow,33,14,5,14,36,40,-4,47,2023-02-25
League Two,,12,Doncaster Rovers,32,14,4,14,36,43,-7,46,2023-02-25
League Two,,13,Tranmere Rovers,33,12,8,13,33,32,1,44,2023-02-25
League Two,,14,Walsall,31,10,13,8,35,28,7,43,2023-02-25
League Two,,15,AFC Wimbledon,32,10,12,10,33,33,0,42,2023-02-25
League Two,,16,Grimsby Town,30,10,8,12,34,38,-4,38,2023-02-25
League Two,,17,Crewe Alexandra,32,8,14,10,28,39,-11,38,2023-02-25
League Two,,18,Newport County,32,9,10,13,31,36,-5,37,2023-02-25
League Two,,19,Colchester United,34,9,8,17,31,40,-9,35,2023-02-25
League Two,,20,Gillingham,31,8,9,14,21,35,-14,33,2023-02-25
League Two,,21,Harrogate Town,32,7,9,16,37,50,-13,30,2023-02-25
League Two,,22,Hartlepool United,34,6,10,18,36,62,-26,28,2023-02-25
League Two,,23,Crawley Town,30,6,8,16,34,52,-18,26,2023-02-25
League Two,,24,Rochdale,34,5,7,22,27,52,-25,22,2023-02-25
League Two,,1,Leyton Orient,34,21,8,5,45,21,24,71,2023-02-28
League Two,,2,Stevenage,32,17,9,6,46,28,18,60,2023-02-28
League Two,,3,Carlisle United,33,16,10,7,54,34,20,58,2023-02-28
League Two,,4,Northampton Town,33,15,11,7,46,32,14,56,2023-02-28
League Two,,5,Stockport County,33,16,6,11,48,31,17,54,2023-02-28
League Two,,6,Bradford City,32,15,9,8,40,29,11,54,2023-02-28
League Two,,7,Salford City,34,15,8,11,48,36,12,53,2023-02-28
League Two,,8,Mansfield Town,32,15,7,10,51,42,9,52,2023-02-28
League Two,,9,Sutton United,33,14,8,11,36,38,-2,50,2023-02-28
League Two,,10,Swindon Town,32,13,9,10,43,35,8,48,2023-02-28
League Two,,11,Barrow,34,14,6,14,37,41,-4,48,2023-02-28
League Two,,12,Tranmere Rovers,34,13,8,13,34,32,2,47,2023-02-28
League Two,,13,Doncaster Rovers,32,14,4,14,36,43,-7,46,2023-02-28
League Two,,14,Walsall,31,10,13,8,35,28,7,43,2023-02-28
League Two,,15,AFC Wimbledon,33,10,12,11,35,36,-1,42,2023-02-28
League Two,,16,Grimsby Town,30,10,8,12,34,38,-4,38,2023-02-28
League Two,,17,Crewe Alexandra,32,8,14,10,28,39,-11,38,2023-02-28
