game_date,team_name,team_venue,formation,team_manager,surname,forename,short_name,shirt_no,position,formation_place,is_captain,yellow_card,min_yc,red_card,min_rc,sub_off_period,sub_off_min,sub_off_reason,sub_replacement_id,sub_replacement_name,sub_on_period,sub_on_min,sub_on_reason,sub_replaced_id,sub_replaced_name
2020-01-01,Tranmere Rovers,home,3-4-1-2,Micky Mellon,Woods,Calum Jack,C. Woods,2,Defender,4,False,0,,0,,,,,,,,,,,
2020-01-01,Tranmere Rovers,home,3-4-1-2,Micky Mellon,Nelson,Sidney Raymond Kenneth,S. Nelson,4,Defender,6,False,0,,0,,,,,,,,,,,
2020-01-01,Tranmere Rovers,home,3-4-1-2,Micky Mellon,Ray,George Edward,G. Ray,5,Defender,5,False,0,,0,,,,,,,,,,,
2020-01-01,Tranmere Rovers,home,3-4-1-2,Micky Mellon,Morris,Kieron,K. Morris,7,Midfielder,3,False,1,24,0,,,,,,,,,,,
2020-01-01,Tranmere Rovers,home,3-4-1-2,Micky Mellon,Mullin,Paul Philip,P. Mullin,9,Substitute,,False,0,,0,,,70.0,Tactical,,,2.0,,,s-4qrvri86m93wpyugq0zq4aaqx,C. Blackett-Taylor
2020-01-01,Tranmere Rovers,home,3-4-1-2,Micky Mellon,Ferrier,Morgan James,M. Ferrier,10,Striker,11,False,0,,0,,,,,,,,,,,
2020-01-01,Tranmere Rovers,home,3-4-1-2,Micky Mellon,Jennings,Connor Joseph,C. Jennings,11,Attacking Midfielder,9,False,0,,0,,,,,,,,,,,
2020-01-01,Tranmere Rovers,home,3-4-1-2,Micky Mellon,Caprice,Jake Lenox,J. Caprice,14,Midfielder,2,False,0,,0,,,,,,,,,,,
2020-01-01,Tranmere Rovers,home,3-4-1-2,Micky Mellon,Perkins,David Philip,D. Perkins,17,Midfielder,8,False,0,,0,,,,,,,,,,,
2020-01-01,Tranmere Rovers,home,3-4-1-2,Micky Mellon,Blackett-Taylor,Corey Josiah Paul,C. Blackett-Taylor,23,Striker,10,False,0,,0,,2.0,70.0,Tactical,s-dedo3aeufeif0l0zgwmx9nhed,P. Mullin,,,,,
2020-01-01,Tranmere Rovers,home,3-4-1-2,Micky Mellon,Pilling,Luke,L. Pilling,25,Substitute,,False,0,,0,,,,,,,,,,,
2020-01-01,Tranmere Rovers,home,3-4-1-2,Micky Mellon,Spellman,Carl,C. Spellman,26,Substitute,,False,0,,0,,,,,,,,,,,
2020-01-01,Tranmere Rovers,home,3-4-1-2,Micky Mellon,Thompson,Bailey,B. Thompson,27,Substitute,,False,0,,0,,,,,,,,,,,
2020-01-01,Tranmere Rovers,home,3-4-1-2,Micky Mellon,Walker-Rice,Daniel,D. Walker-Rice,29,Substitute,,False,0,,0,,,,,,,,,,,
2020-01-01,Tranmere Rovers,home,3-4-1-2,Micky Mellon,Chapman,Aaron James,A. Chapman,31,Goalkeeper,1,False,0,,0,,,,,,,,,,,
2020-01-01,Tranmere Rovers,home,3-4-1-2,Micky Mellon,Hayde,Kyle William,K. Hayde,34,Substitute,,False,0,,0,,,,,,,,,,,
2020-01-01,Tranmere Rovers,home,3-4-1-2,Micky Mellon,Danns,Neil Alexander,N. Danns,35,Midfielder,7,False,0,,0,,,,,,,,,,,
2020-01-01,Tranmere Rovers,home,3-4-1-2,Micky Mellon,Payne,Stefan Steve,S. Payne,45,Substitute,,False,0,,0,,,,,,,,,,,
2020-01-01,Coventry City,away,3-4-2-1,Mark Robins,Maroši,Marko,M. Maroši,1,Goalkeeper,1,False,0,,0,,,,,,,,,,,
2020-01-01,Coventry City,away,3-4-2-1,Mark Robins,Mason,Brandon Alexander,B. Mason,3,Substitute,,False,0,,0,,,,,,,,,,,
2020-01-01,Coventry City,away,3-4-2-1,Mark Robins,Rose,Michael Alexander,M. Rose,4,Defender,6,False,0,,0,,,,,,,,,,,
2020-01-01,Coventry City,away,3-4-2-1,Mark Robins,McFadzean,Kyle John,K. McFadzean,5,Defender,5,False,0,,0,,,,,,,,,,,
2020-01-01,Coventry City,away,3-4-2-1,Mark Robins,Kelly,Liam Mark,L. Kelly,6,Midfielder,8,False,0,,0,,,,,,,,,,,
