game_date,competition,competition_long,comp_stage,comp_round,ko_time,venue,attendance
2023-09-09,League Two,English Football League - League Two,Regular Season,,15:00,JobServe Community Stadium,3474
2023-09-16,League Two,English Football League - League Two,Regular Season,,15:00,Broadfield Stadium,2961
2023-09-23,League Two,English Football League - League Two,Regular Season,,15:00,Prenton Park,5980
2023-09-30,League Two,English Football League - League Two,Regular Season,,15:00,The Cherry Red Records Stadium,7367
2023-10-03,League Two,English Football League - League Two,Regular Season,,19:45,Prenton Park,5672
2023-10-07,League Two,English Football League - League Two,Regular Season,,15:00,Prenton Park,5968
2023-10-10,EFL Trophy,English Football League Trophy,Group Stage,Northern Group D,19:00,Prenton Park,678
2023-10-14,League Two,English Football League - League Two,Regular Season,,15:00,Mornflake Stadium,5826
2023-10-20,League Two,English Football League - League Two,Regular Season,,19:45,Prenton Park,5835
2023-10-24,League Two,English Football League - League Two,Regular Season,,19:45,Mazuma Mobile Stadium,3678
2023-10-28,League Two,English Football League - League Two,Regular Season,,15:00,Edgeley Park,9735
2023-11-04,FA Cup,English FA Cup,1st Round,,15:00,Lamex Stadium,2404
2023-11-11,League Two,English Football League - League Two,Regular Season,,15:00,Prenton Park,6461
2023-11-14,EFL Trophy,English Football League Trophy,Group Stage,Northern Group D,19:00,Prenton Park,1142
2023-11-18,League Two,English Football League - League Two,Regular Season,,15:00,VBS Community Stadium,3548
2023-11-25,League Two,English Football League - League Two,Regular Season,,15:00,Prenton Park,5283
2023-11-28,League Two,English Football League - League Two,Regular Season,,19:45,One Call Stadium,6421
2023-12-09,League Two,English Football League - League Two,Regular Season,,15:00,Prenton Park,5681
2023-12-16,League Two,English Football League - League Two,Regular Season,,15:00,Poundland Bescot Stadium,5190
2023-12-23,League Two,English Football League - League Two,Regular Season,,15:00,Prenton Park,5894
2023-12-26,League Two,English Football League - League Two,Regular Season,,15:00,The Peninsula Stadium,4576
2023-12-29,League Two,English Football League - League Two,Regular Season,,19:45,Exercise Stadium,3105
2024-01-01,League Two,English Football League - League Two,Regular Season,,15:00,Prenton Park,7828
2024-01-06,League Two,English Football League - League Two,Regular Season,,15:00,SO Legal Stadium,4023
2024-01-13,League Two,English Football League - League Two,Regular Season,,15:00,Prenton Park,6862
2024-01-20,League Two,English Football League - League Two,Regular Season,,19:45,The Nigel Eady County Ground,7245
2024-01-27,League Two,English Football League - League Two,Regular Season,,15:00,Blundell Park,6421
2024-02-03,League Two,English Football League - League Two,Regular Season,,15:00,Prenton Park,7169
2024-02-10,League Two,English Football League - League Two,Regular Season,,15:00,Eco-Power Stadium,6389
2024-02-13,League Two,English Football League - League Two,Regular Season,,19:45,Prenton Park,5486
2024-02-17,League Two,English Football League - League Two,Regular Season,,15:00,Prenton Park,7882
2024-02-24,League Two,English Football League - League Two,Regular Season,,15:00,The Bolt New Lawn,2308
2024-03-02,League Two,English Football League - League Two,Regular Season,,15:00,Prenton Park,5423
2024-03-09,League Two,English Football League - League Two,Regular Season,,15:00,Priestfield Stadium,6077
2024-03-12,League Two,English Football League - League Two,Regular Season,,19:45,Prenton Park,5488
2024-03-16,League Two,English Football League - League Two,Regular Season,,15:00,STōK Cae Ras,12519
2024-03-23,League Two,English Football League - League Two,Regular Season,,15:00,Prenton Park,5829
2024-03-29,League Two,English Football League - League Two,Regular Season,,15:00,University of Bradford Stadium,18009
2024-04-01,League Two,English Football League - League Two,Regular Season,,15:00,Prenton Park,5923
2024-04-06,League Two,English Football League - League Two,Regular Season,,15:00,Prenton Park,5849
