season,game_date,game_no,opposition,venue,score,outcome,goals_for,goals_against,goal_diff,game_type,competition,generic_comp,ssn_comp_game_no,league_tier,league_pos,pts,attendance,weekday,manager,ko_time,cup_round,cup_leg,cup_stage,cup_replay,cup_section,aet,pen_outcome,pen_score,pen_gf,pen_ga,agg_outcome,agg_score,agg_gf,agg_ga,away_goal_outcome,gg_outcome,decider,cup_outcome,outcome_desc,game_length,stadium,referee
2024/25,2024-08-10,1,Notts County,H,0-0,D,0.0,0.0,0.0,League,League Two,Football League,1.0,4.0,14.0,1.0,8198.0,Saturday,Nigel Adkins,15:00,,,,,,,,,,,,,,,,,,,,90,Prenton Park,Michael Barlow
2024/25,2024-08-13,2,Accrington Stanley,H,3-0,W,3.0,0.0,3.0,Cup,Carabao Cup,League Cup,,,,,2288.0,Tuesday,Nigel Adkins,19:45,,,,,,,,,,,,,,,,,,,,90,Prenton Park,Scott Simpson
2024/25,2024-08-17,3,Port Vale,A,0-0,D,0.0,0.0,0.0,League,League Two,Football League,,4.0,16.0,2.0,8102.0,Saturday,Nigel Adkins,15:00,,,,,,,,,,,,,,,,,,,,90,Vale Park,James Oldham
2024/25,2024-08-20,4,Everton U21,H,1-3,L,1.0,3.0,-2.0,Cup,Bristol Street Motors Trophy,Associate Members' Cup,,,,,671.0,Tuesday,Nigel Adkins,19:00,,,,,,,,,,,,,,,,,,,,90,Prenton Park,Richie Watkins
2024/25,2024-08-24,5,Walsall,H,1-0,W,1.0,0.0,1.0,League,League Two,Football League,,4.0,12.0,5.0,6145.0,Saturday,Nigel Adkins,12:30,,,,,,,,,,,,,,,,,,,,90,Prenton Park,Thomas Parsons
2024/25,2024-08-27,6,Leicester City,A,0-4,L,0.0,4.0,-4.0,Cup,Carabao Cup,League Cup,,,,,13011.0,Tuesday,Nigel Adkins,19:45,,,,,,,,,,,,,,,,,,,,90,King Power Stadium,Lewis Smith
2024/25,2024-08-31,7,Carlisle United,A,2-1,W,2.0,1.0,1.0,League,League Two,Football League,,4.0,8.0,8.0,8003.0,Saturday,Nigel Adkins,15:00,,,,,,,,,,,,,,,,,,,,90,Brunton Park,Simon Mather
2024/25,2024-09-14,8,Gillingham,A,0-3,L,0.0,3.0,-3.0,League,League Two,Football League,1.0,4.0,14.0,8.0,6660.0,Saturday,Nigel Adkins,15:00,,,,,,,,,,,,,,,,,,,,90,Priestfield Stadium,Will Finnie
2024/25,2024-09-21,9,Colchester United,A,0-3,L,0.0,3.0,-3.0,League,League Two,Football League,1.0,4.0,16.0,8.0,4243.0,Saturday,Nigel Adkins,15:00,,,,,,,,,,,,,,,,,,,,90,JobServe Community Stadium,Matthew Corlett
2024/25,2024-09-27,10,Salford City,H,0-0,D,0.0,0.0,0.0,League,League Two,Football League,1.0,4.0,15.0,9.0,7281.0,Friday,Nigel Adkins,19:45,,,,,,,,,,,,,,,,,,,,90,Prenton Park,Edward Duckworth
