game_date,team_name,team_venue,possessionPercentage,shotsTotal,shotsOnTarget,shotsOffTarget,shotsBlocked,shotsSaved,foulsCommitted,cornersWon,touchesInBox,aerialsWon,subsMade,attack.shotsTotal,attack.shotsOnTarget,attack.shotsOffTarget,attack.shotsBlocked,attack.cornersWon,attackOffside,attackCross,attack.attemptsOutOfBox,attack.attemptsInBox,attack.bigChanceCreated,attack.bigChanceScored,attack.hitWoodwork,attack.shotsOpenPlayOrFastBreak,distribution.touches,distribution.touchesInBox,distributionPass,distribution.accuratePass,distribution.backwardPass,distribution.forwardPass,distribution.passesRight,distribution.passesLeft,distributionLongBalls,distribution.successfulFinalThirdPasses,distributionOffside,distribution.dispossessed,distributionCross,goalkeeper.shotsSaved,goalkeeper.divingSave,goalkeeper.keeperThrows,goalkeeper.goalKicks,goalkeeper.savedShotFromOutsideBox,defence.foulsCommitted,defenceTackle,defence.wonTackle,defenceYellowCard,defenceClearance,defence.headClearance,defence.duelWon,defence.duelLost,defence.aerialWon,defence.aerialLost,goalkeeper.savedShotFromInsideBox,attack.bigChanceMissed,goalkeeper.punches,attack.oneOnOneAttempts,defence.clearanceOffLine,defence.errorLeadToShot
2020-01-01,Tranmere Rovers,home,42.1,13,6,5.0,2.0,3,17,5,28.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-01,Coventry City,away,57.9,18,7,8.0,3.0,4,6,3,21.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-04,Watford,home,56.0,9,3,3.0,3.0,5,13,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-04,Tranmere Rovers,away,44.0,12,7,3.0,2.0,0,11,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-07,Tranmere Rovers,home,43.1,7,2,0.0,5.0,2,15,7,13.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-07,Leicester City U21,away,56.9,14,4,5.0,5.0,1,7,9,36.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-11,Southend United,home,48.4,15,3,9.0,3.0,3,8,5,16.0,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-11,Tranmere Rovers,away,51.6,9,3,4.0,2.0,3,17,7,14.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-18,Tranmere Rovers,home,44.2,5,2,2.0,1.0,5,15,3,13.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-18,Ipswich Town,away,55.8,16,7,3.0,6.0,1,20,4,27.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-23,Tranmere Rovers,home,59.0,20,3,12.0,5.0,2,8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-23,Watford,away,41.0,11,3,4.0,4.0,1,21,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
