game_date,surname,forename,name,role
2020-01-01,Finnie,Will,Will Finnie,Referee
2020-01-01,Simpson,Joe,Joe Simpson,Assistant referee 1
2020-01-01,Gooch,Peter,Peter Gooch,Assistant referee 2
2020-01-01,Smith,Lewis,Lewis Smith,Fourth official
2020-01-04,Scott,Graham,Graham Scott,Referee
2020-01-04,Davies,Neil,Neil Davies,Assistant referee 1
2020-01-04,Venamore,Lee,Lee Venamore,Assistant referee 2
2020-01-04,Finnie,Will,Will Finnie,Fourth official
2020-01-07,Coy,Martin,Martin Coy,Referee
2020-01-07,Mellor,Gareth,Gareth Mellor,Assistant referee 1
2020-01-07,Plowright,David,David Plowright,Assistant referee 2
2020-01-07,Bristow,Matthew,Matthew Bristow,Fourth official
2020-01-11,Young,Alan,Alan Young,Referee
2020-01-11,Tranter,Adrian,Adrian Tranter,Assistant referee 1
2020-01-11,Lee,Matthew,Matthew Lee,Assistant referee 2
2020-01-11,Walchester,Callum,Callum Walchester,Fourth official
2020-01-18,Busby,John,John Busby,Referee
2020-01-18,Rashid,Lisa,Lisa Rashid,Assistant referee 1
2020-01-18,Hendley,Andy,Andy Hendley,Assistant referee 2
2020-01-18,Smallwood,Billy,Billy Smallwood,Fourth official
2020-01-23,Harrington,Tony,Tony Harrington,Referee
2020-01-23,Long,Simon,Simon Long,Assistant referee 1
2020-01-23,Holmes,Adrian,Adrian Holmes,Assistant referee 2
2020-01-23,Brooks,John,John Brooks,Fourth official
2020-01-26,Mason,Lee,Lee Mason,Referee
2020-01-26,Bennett,Simon,Simon Bennett,Assistant referee 1
2020-01-26,Robathan,Dan,Dan Robathan,Assistant referee 2
2020-01-26,Bond,Darren,Darren Bond,Fourth official
2020-01-29,Coggins,Antony,Antony Coggins,Referee
2020-01-29,Jones,Matthew,Matthew Jones,Assistant referee 1
2020-01-29,Benton,David,David Benton,Assistant referee 2
2020-01-29,Hobday,Paul,Paul Hobday,Fourth official
2020-02-01,Oldham,Scott,Scott Oldham,Referee
2020-02-01,Harty,Thomas,Thomas Harty,Assistant referee 1
2020-02-01,Liddle,Geoffrey,Geoffrey Liddle,Assistant referee 2
2020-02-01,Mulraine,Kevin,Kevin Mulraine,Fourth official
2020-02-04,Doughty,Leigh,Leigh Doughty,Referee
2020-02-04,Smith,Wade,Wade Smith,Assistant referee 1
2020-02-04,Brown,Conor,Conor Brown,Assistant referee 2
2020-02-04,Kenny,Jon,Jon Kenny,Fourth official
2020-02-08,Salisbury,Michael,Michael Salisbury,Referee
2020-02-08,Isherwood,Chris,Chris Isherwood,Assistant referee 1
2020-02-08,Rushton,Steven,Steven Rushton,Assistant referee 2
2020-02-08,Karaivanov,Hristo,Hristo Karaivanov,Fourth official
2020-02-11,Hair,Neil,Neil Hair,Referee
2020-02-11,Aspinall,Natalie,Natalie Aspinall,Assistant referee 1
2020-02-11,Bartlett,Richard,Richard Bartlett,Assistant referee 2
2020-02-11,Clayton,Alan,Alan Clayton,Fourth official
2020-02-22,Breakspear,Charles,Charles Breakspear,Referee
2020-02-22,Hendley,Andy,Andy Hendley,Assistant referee 1
2020-02-22,Amphlett,Marvyn,Marvyn Amphlett,Assistant referee 2
2020-02-22,Wade,Christopher,Christopher Wade,Fourth official
2020-02-25,Oldham,James,James Oldham,Referee
2020-02-25,Hilton,Gary,Gary Hilton,Assistant referee 1
2020-02-25,Karaivanov,Hristo,Hristo Karaivanov,Assistant referee 2
2020-02-25,Harty,Thomas,Thomas Harty,Fourth official
2020-03-07,Finnie,Will,Will Finnie,Referee
2020-03-07,Parry,Matthew,Matthew Parry,Assistant referee 1
2020-03-07,Morris,Richard,Richard Morris,Assistant referee 2
2020-03-07,Evans,Karl,Karl Evans,Fourth official
2020-03-10,Stockbridge,Seb,Seb Stockbridge,Referee
2020-03-10,Gordon,Barry,Barry Gordon,Assistant referee 1
2020-03-10,Mackey,Oliver,Oliver Mackey,Assistant referee 2
2020-03-10,Brown,Conor,Conor Brown,Fourth official
2020-09-05,Nield,Tom,Tom Nield,Referee
2020-09-05,Brown,Conor,Conor Brown,Assistant referee 1
2020-09-05,Rushton,Steven,Steven Rushton,Assistant referee 2
2020-09-05,Hall,Bradley,Bradley Hall,Fourth official
2020-09-08,Bourne,Declan,Declan Bourne,Referee
2020-09-08,Dallison,Andrew,Andrew Dallison,Assistant referee 1
2020-09-08,Isherwood,Chris,Chris Isherwood,Assistant referee 2
2020-09-08,Tallis,Scott,Scott Tallis,Fourth official
2020-09-12,Bell,James,James Bell,Referee
2020-09-12,Ford,Declan,Declan Ford,Assistant referee 1
2020-09-12,Howick,Kevin,Kevin Howick,Assistant referee 2
2020-09-12,Rashid,Lisa,Lisa Rashid,Fourth official
2020-09-19,Boyeson,Carl,Carl Boyeson,Referee
2020-09-19,Woodward,Richard,Richard Woodward,Assistant referee 1
2020-09-19,Atkin,Robert,Robert Atkin,Assistant referee 2
2020-09-19,Gooch,Peter,Peter Gooch,Fourth official
